firm_id,active,purge,member_status_id,member_status,member_cat_id,member_cat,application_signed,bbb_rr_url,bbir_status_id,bbir_status,business_type_id,business_type,do_not_mail,number_of_employees,number_of_locations,scope_id,scope_text,date_application_signed,date_established,state_established,date_incorporated,state_incorporated,date_joined_bbb,date_license_checked,date_standards_returned,date_file_opened,mip_status,mip_status-2,mip_date_start,mip_date_delete,outofbusiness_status,outofbusiness_status-2,outofbusiness_date,outofbusiness_status_change,deleted_date,lastupdate,termination_pending,termination_date,termination_active,hq,date_business_start,number_of_customers,annual_revenue,modifiedon,modifiedby,parent_id,date_expire,number_of_parttime,hq_type_id,deleted_pending,deleted_pending_date,date_newowner,rating_pattern,rating_pattern_date,branch_id,createdon,createdby,ischarity,number_of_seasonal,naics,public_company,establishment_type_id,tax_exempt
30,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,6.0,Limited Liability Company (LLC),False,135,1,0.0,,,1874-01-01 00:00:00,MN,1874-01-01 00:00:00,MN,1979-12-14 00:00:00,,,1979-12-01 00:00:00,2,No,,,,,,,,2011-07-06 00:00:00,False,,False,False,1874-01-01 00:00:00,0.0,,2021-09-08 13:14:23.567,,,,0.0,,False,,,False,,,,,False,0.0,561621.0,False,0.0,
31,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,1.0,Corporation,False,550,1,0.0,,,1927-01-01 00:00:00,MN,,,1975-12-22 00:00:00,,,1975-12-01 00:00:00,2,No,,,,,,,2002-05-29 00:00:00,2002-08-28 00:00:00,False,,False,False,1927-01-01 00:00:00,0.0,,2023-06-05 17:20:55.527,4432.0,,,0.0,0.0,False,,,False,,,,,False,0.0,524210.0,False,0.0,
32,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,1.0,Corporation,False,3,1,0.0,,,1999-07-21 00:00:00,MN,1999-07-21 00:00:00,MN,1993-01-20 00:00:00,,,1999-07-21 00:00:00,2,No,,,,,,,2008-03-31 00:00:00,2002-07-02 00:00:00,False,,False,False,1999-07-21 00:00:00,500.0,200000.0,2017-05-15 16:11:02.037,5093.0,,,0.0,,False,,,False,,,,,False,0.0,811198.0,False,,
33,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,0.0,,False,3,1,0.0,,,1974-07-01 00:00:00,MN,,,1985-07-29 00:00:00,,,1985-07-01 00:00:00,2,No,,,,,,,2000-08-17 00:00:00,2013-09-21 00:00:00,False,,False,False,1974-07-01 00:00:00,0.0,200000.0,2018-10-01 14:53:02.737,7860.0,,,0.0,,False,,,False,,,,,False,0.0,811111.0,False,0.0,
34,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,False,10,2,0.0,,,1982-04-01 00:00:00,MN,1982-04-01 00:00:00,MN,1984-09-10 00:00:00,,,1984-09-01 00:00:00,2,No,,,,,,,2000-12-27 00:00:00,2002-07-25 00:00:00,False,,False,False,1982-04-01 00:00:00,0.0,213015.0,2017-06-23 17:26:12.473,5093.0,,,0.0,,False,,,False,,,,,False,0.0,446199.0,False,,
36,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,False,50,1,0.0,,,1977-05-01 00:00:00,MN,,,,,,1977-12-01 00:00:00,2,No,,,,,,,,2013-09-21 00:00:00,False,,False,False,1977-05-01 00:00:00,0.0,9400000.0,2018-10-01 14:53:26.16,7860.0,,,0.0,,False,,,False,,,,,False,0.0,238310.0,False,0.0,
37,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,3,1,0.0,,,1972-01-01 00:00:00,MN,1972-01-01 00:00:00,MN,2003-11-26 00:00:00,,,1981-06-01 00:00:00,2,No,,,,,,,2005-01-05 00:00:00,2013-09-21 00:00:00,False,,False,False,1972-01-01 00:00:00,0.0,190000.0,2018-10-01 14:53:55.003,7860.0,,,0.0,,False,,,False,,,,,False,0.0,561510.0,False,0.0,
43,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,1.0,Corporation,False,4,1,,,2010-10-05 00:00:00,1963-01-01 00:00:00,MN,1967-05-22 00:00:00,MN,1985-04-28 00:00:00,,,1985-02-01 00:00:00,2,No,,,,,,,,2002-08-20 00:00:00,False,,False,False,1963-01-01 00:00:00,,0.0,2022-03-17 12:43:54.917,,,,,,False,,,False,,,,,False,,238220.0,False,,
46,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,8,1,,,,1956-01-01 00:00:00,MN,,MN,2008-05-15 00:00:00,,,1971-02-01 00:00:00,2,No,2008-05-15 00:00:00,2011-10-03 00:00:00,,,,,2011-10-03 00:00:00,2008-05-19 00:00:00,False,,False,False,1956-01-01 00:00:00,,3000000.0,2018-01-08 13:40:18.16,4873.0,,,,,False,,,False,,,,,False,,561311.0,False,,
49,True,False,19,Twin Cities Metro,1,Not Accredited,False,,1.0,Returned,1.0,Corporation,False,5,1,0.0,,,1999-06-07 00:00:00,MN,1999-06-07 00:00:00,MN,2019-01-04 00:00:00,,,1999-07-09 00:00:00,2,No,,,,,,,2023-03-30 00:00:00,2019-01-04 15:05:48.153,False,,False,False,1999-06-07 00:00:00,1.0,1100000.0,2023-03-30 14:33:06.543,9832.0,,,0.0,,False,,,False,,,,,False,0.0,811111.0,False,0.0,
50,True,False,19,Twin Cities Metro,3,Accredited Business,False,,1.0,Returned,6.0,Limited Liability Company (LLC),False,35,1,0.0,,,1971-03-01 00:00:00,MN,1953-01-01 00:00:00,,2012-11-14 00:00:00,,,1971-03-01 00:00:00,2,No,,,,,,,,2013-09-21 00:00:00,False,,False,False,1971-03-01 00:00:00,500.0,3325000.0,2023-11-02 12:03:48.81,9310.0,718.0,,,,False,,,False,,,,,False,,441110.0,False,0.0,
